1,Миле Јанакиески,Соговорник 26
1,Миле Јанакиески,Соговорник 27
3,Миле Јанакиески,Соговорник (Ѓоко)
1,Миле Јанакиески,Соговорник (Стевче)
1,Миле Јанакиески,Согооврник 31
3,Миле Јанакиески,Спиро Ристовски
2,Муса Џафери,Сашо Мијалков
1,Сашо Акимовски,Влатко Чинговски
1,Сашо Мијалков,Драган Павловиќ Латас
1,Сашо Мијалков,Муса Џафери
1,Сашо Мијалков,Соговорник 22
1,Светлана Костова,Влатко Стојковиќ
5,Светлана Костова,Сашо Мијалков
1,Светлана Костова,Соговорник 28
1,Светлана Костова,Соговорник 29
2,Светлана Костова,Хаим Хакеини
2,Силвана Бонева,Надица Танчева Тулиева
4,Силвана Бонева,Никола Груевски
9,Слободан Николовски-Цобе,Сашо Мијалков
1,Соговорник (Дејан),Марјан Ристески
1,Софија Лаличиќ,Сашо Мијалков
1,Стевчо Јакимовски,Сашо Мијалков
1,Филимена Маневска,Влатко Мијалков
